source_language,dest_language,source_text,dest_text
eng,tgl,"and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse,",At naging anak ni Salmon kay Rahab si Booz; at naging anak ni Booz kay Rut si Obed; at naging anak ni Obed si Jesse.
eng,pag,"and Jesse the father of King David.And David was the father of Solomon by the wife of Uriah,",Si Jesse so ama nen Ari David.Si David so ama nen Solomon (say gendat ya asawa nen Urias so ina to).
eng,pam,"and Jesse the father of King David.And David was the father of Solomon by the wife of Uriah,",Anak neng Jese ing Aring David.Anak neng David i Solomon king meging asawa nang Uria.
eng,tao,"and Jesse the father of King David.And David was the father of Solomon by the wife of Uriah,",O anak na ni Yesi am si Tawey.O anak na ni Tawey am si Solomen. O ina na am mina mavakes na ni Odiya.
eng,tgl,"and Jesse the father of King David.And David was the father of Solomon by the wife of Uriah,","At naging anak ni Jesse ang haring si David; at naging anak ni David si Salomon, doon sa naging asawa ni Urias;"
eng,pag,"and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph,",Si Solomon so ama nen Roboam; si Roboam so ama nen Abias; si Abias so ama nen Asa.
eng,pam,"and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph,","Anak neng Solomon i Rehoboam, anak neng Rehoboam i Abiya, anak neng Abiya i Asa."
eng,tao,"and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph,",O anak na ni Solomen am si Lopoan. O anak na ni Lopoan am si Apiya. O anak na ni Apiya am si Yasa.
eng,tgl,"and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph,",At naging anak ni Salomon si Reboam; at naging anak ni Reboam si Abias; at naging anak ni Abias si Asa;
eng,pag,"and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah,",Si Asa so ama nen Josafat; si Josafat so ama nen Joram; si Joram so ama nen Ozias.
eng,pam,"and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah,","Anak neng Asa i Jeosafat, anak neng Jeosafat i Jeoram, anak neng Jeoram i Uzzia."
eng,tao,"and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah,",O anak na ni Yasa am si Yesava. O anak na ni Yesava am si Yelan. O anak na ni Yelan am si Ociya.
eng,tgl,"and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah,",At naging anak ni Asa si Josafat; at naging anak ni Josafat si Joram; at naging anak ni Joram si Ozias;
eng,pag,"and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah,",Si Ozias so ama nen Jotam; si Jotam so ama nen Acaz; si Acaz so ama nen Ezekias.
eng,pam,"and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah,","Anak neng Uzzia i Jotam, anak neng Jotam i Ahaz, anak neng Ahaz i Hezekia."
eng,tao,"and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah,",O anak na ni Ociya am si Yetan. O anak na ni Yetan am si Ahatse. O anak na ni Ahatse am si Sisicya.
eng,tgl,"and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah,",At naging anak ni Ozias si Joatam; at naging anak ni Joatam si Acaz; at naging anak ni Acaz si Ezequias;
eng,pag,"and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,",Si Ezekias so ama nen Manases; si Manases so ama nen Amon; si Amon so ama nen Josias.
eng,pam,"and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,","Anak neng Hezekia i Manase, anak neng Manase i Amon, anak neng Amon i Josias."
eng,tao,"and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,",O anak na ni Sisicya am si Manase. O anak na ni Manase am si Amen. O anak na ni Amen am si Yeseya.
eng,tgl,"and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,",At naging anak ni Ezequias si Manases; at naging anak ni Manases si Amon; at naging anak ni Amon si Josias;
eng,pag,"and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon.",Si Josias so ama nen Jeconias tan saray agagi to. Dia ed sayan panaon nibantak ed Babilonia iray Israelita.
eng,pam,"and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon.",Anak neng Josias i Jeconias at ding kapatad nang lalaki. Kanita milyari ing pangadala da ring Israelita anting bihag karin Babilonia.
eng,tao,"and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon.",No karakep da so Isedi a tao a yangay do Papilon am meytaodtod si Yeseya. O anak na am si Yoyacin a kano kakakteh na.
eng,tgl,"and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon.","At naging anak ni Josias si Jeconias at ang kaniyang mga kapatid, nang panahon ng pagkadalang-bihag sa Babilonia."
eng,pag,"And after the deportation to Babylon: Jechoniah was the father of Salathiel, and Salathiel the father of Zerubbabel,","Nen asumpal so inkibantak dad Babilonia, nianak si Salatiel tan si Jeconias so ama to. Si Salatiel so ama nen Zorobabel;"
eng,pam,"And after the deportation to Babylon: Jechoniah was the father of Salathiel, and Salathiel the father of Zerubbabel,","Kaybat ning pangadala da ring Israelita anting bihag karin Babilonia, ayanak neng Jeconias i Salatiel, ayanak neng Salatiel i Zerubabel."
eng,tao,"And after the deportation to Babylon: Jechoniah was the father of Salathiel, and Salathiel the father of Zerubbabel,",Yangay da sira do Papilon am meytaodtod si Yekeniya. O anak na am si Salati. O anak na ni Salati am si Solopapey.
eng,tgl,"And after the deportation to Babylon: Jechoniah was the father of Salathiel, and Salathiel the father of Zerubbabel,","At pagkatapos nang pagkadalangbihag sa Babilonia, ay naging anak ni Jeconias si Salatiel; at naging anak ni Salatiel si Zorobabel;"
eng,pag,"and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor,",si Zorobabel so ama nen Abiud; si Abiud so ama nen Eliakim; si Eliakim so ama nen Azor.
eng,pam,"and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor,","Ayanak neng Zerubabel i Abiud, ayanak neng Abiud i Eliakim, ayanak neng Eliakim i Azor."
eng,tao,"and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor,",O anak na ni Solopapey am si Apio. O anak na ni Apio am si Idiacing. O anak na ni Idiacing am si Aso.
eng,tgl,"and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor,",At naging anak ni Zorobabel si Abiud; at naging anak ni Abiud si Eliaquim; at naging anak ni Eliaquim si Azor;
eng,pag,"and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud,",Si Azor so ama nen Sadoc; si Sadoc so ama nen Akim; si Akim so ama nen Eliud.
eng,pam,"and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud,","Ayanak neng Azor i Zadoc, ayanak neng Zadoc i Akim, ayanak neng Akim i Eliud."
eng,tao,"and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud,",O anak na ni Aso am si Sato. O anak na ni Sato am si Asin. O anak na ni Asin am si Idio.
eng,tgl,"and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud,",At naging anak ni Azor si Sadoc; at naging anak ni Sadoc si Aquim; at naging anak ni Aquim si Eliud;
eng,pag,"and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob,",Si Eliud so ama nen Eleazar; si Eleazar so ama nen Matan; si Matan so ama nen Jacob.
eng,pam,"and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob,","Ayanak neng Eliud i Eleazar, ayanak neng Eleazar i Matan, ayanak neng Matan i Jacob."
eng,tao,"and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob,",O anak na ni Idio am si Idiasa. O anak na ni Idiasa am si Matan. O anak na ni Matan am si Yakebo.
eng,tgl,"and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob,",At naging anak ni Eliud si Eleazar; at naging anak ni Eleazar si Matan; at naging anak ni Matan si Jacob;
eng,pag,"and Jacob the father of Joseph the husband of Mary, who bore Jesus, who is called the Messiah.","Si Jacob so ama nen Jose ya asawa nen Maria, ya ina nen Jesus a tatawagey Cristo."
eng,pam,"and Jacob the father of Joseph the husband of Mary, who bore Jesus, who is called the Messiah.",I Jacob ya i tata nang Jose a asawa nang Maria; i Maria ya ing ima nang Jesus a mayayaus Cristo.
eng,tao,"and Jacob the father of Joseph the husband of Mary, who bore Jesus, who is called the Messiah.",O anak na ni Yakebo am si Yoseyvo a kahanghangan ni Madiya. O meyngaran si Yeso am anak na ni Madiya. Si Yeso am Misayya.
eng,tgl,"and Jacob the father of Joseph the husband of Mary, who bore Jesus, who is called the Messiah.","At naging anak ni Jacob si Jose asawa ni Maria, na siyang nanganak kay Jesus, na siyang tinatawag na Cristo."
eng,pag,"So all the generations from Abraham to David are fourteen generations; and from David to the deportation to Babylon, fourteen generations; and from the deportation to Babylon to the Messiah, fourteen generations.","No ontan sirin, labinapat so kailalakan manlapud Abraham ya anggad David; labinapat met so kailalakan manlapud David ya anggad inkibantak ed Babilonia na saray Israelita; ontan met a labinapat so kailalakan manlapud saman ya inkibantak da ya anggad inkianak na Misias."
eng,pam,"So all the generations from Abraham to David are fourteen generations; and from David to the deportation to Babylon, fourteen generations; and from the deportation to Babylon to the Messiah, fourteen generations.","Inya heganagana, labi lang apat ding lahi manibat kang Abraham angga kang David; labi lang apat ding lahi manibat kang David angga king pangadala da ring Israelita anting bihag karin Babilonia, at labi lang apat ding lahi manibat king pangadala da ring Israelita anting bihag karin Babilonia angga king pangabait ning Cristo."
eng,tao,"So all the generations from Abraham to David are fourteen generations; and from David to the deportation to Babylon, fourteen generations; and from the deportation to Babylon to the Messiah, fourteen generations.","No ko vilangan am no yapwen ji Apolahan a kangay na ji Tawey am apat o ikarwa na 14 no katatapilan da rana. No yapwen ji Tawey a kangay na do nirakpan da so Isedi a yangay do Papilon am akman sang a apat so ikarwa 14 so katatapilan sira. No vilangan o niyan da no Isedi a tao do Papilon a kangay na do cinatazak na no Misayya am akman sang, ta apat so ikarwa 14 o katatapilan da."
eng,tgl,"So all the generations from Abraham to David are fourteen generations; and from David to the deportation to Babylon, fourteen generations; and from the deportation to Babylon to the Messiah, fourteen generations.",Sa makatuwid ang lahat ng mga salit-saling lahi buhat kay Abraham hanggang kay David ay labingapat na salit-saling lahi; at buhat kay David hanggang sa pagdalang-bihag sa Babilonia ay labingapat na sali't-saling lahi; at buhat sa pagkadalang-bihag sa Babilonia hanggang kay Cristo ay labingapat na sali't-saling lahi.
eng,pag,"Now the birth of Jesus the Messiah took place in this way. When his mother Mary had been engaged to Joseph, but before they lived together, she was found to be pregnant from the Holy Spirit.","Onyay impakaiyanak nen Jesu-Cristo:Si Maria ya ina nen Jesus akisipanan a mikasal ed kinen Jose. Balet kasakbayan na impanamung dan dua, nalmuan a malokun si Maria lapud pakayari na Ispiritu Santo."
eng,pam,"Now the birth of Jesus the Messiah took place in this way. When his mother Mary had been engaged to Joseph, but before they lived together, she was found to be pregnant from the Holy Spirit.","Anti kaniti ing pangabait nang Jesu-Cristo: I Mariang ima na at i Jose atin lang pamitanguanan kasal. Bayu ra ikuang mikasal, meyakit king i Maria mabuktut ne. (Iti milyari king upaya ning Banal a Espiritu.)"
eng,tao,"Now the birth of Jesus the Messiah took place in this way. When his mother Mary had been engaged to Joseph, but before they lived together, she was found to be pregnant from the Holy Spirit.","Kasasaodan ni Yeso Kizisto no katazak na. Si Madiya a ina na a nitamtamkan ni Yoseyvo am ji pa nizomagpit do vahay da am katenngan na rana ni Madiya o kapangalavat na so metdeh, do kowyat na jya no Seyzi na ni Ama ta do to."
eng,tgl,"Now the birth of Jesus the Messiah took place in this way. When his mother Mary had been engaged to Joseph, but before they lived together, she was found to be pregnant from the Holy Spirit.","Ang pagkapanganak nga kay Jesucristo ay ganito: Nang si Maria na kaniyang ina ay magaasawa kay Jose, bago sila magsama ay nasumpungang siya'y nagdadalang-tao sa pamamagitan ng Espiritu Santo."
eng,pag,"Her husband Joseph, being a righteous man and unwilling to expose her to public disgrace, planned to divorce her quietly.","Matonung a too si Jose a kasipan nen Maria, kanyan ag to labay a nasabyay kababaingan si Maria. Ninunot to sirin ya isian ya anggapoy makaamta."
eng,pam,"Her husband Joseph, being a righteous man and unwilling to expose her to public disgrace, planned to divorce her quietly.","I Jose a maging asawa na metung yang banal a tau. E ne buring misalbag a marine i Maria, inya binalak nang kawanian na nia mung lihim."
eng,tao,"Her husband Joseph, being a righteous man and unwilling to expose her to public disgrace, planned to divorce her quietly.",O mangay na seksekan a tao a meyngaran so Yoseyvo am tey yapya o ahahapan na so vazay na do icyatatao na. Am ori o naknakman na sya do onowned na so kato na rana ngaolyan so tamtamek da. Ta ji nakzan o kapeyrengerengay da jya no tao a katenngan.
eng,tgl,"Her husband Joseph, being a righteous man and unwilling to expose her to public disgrace, planned to divorce her quietly.","At si Jose na kaniyang asawa, palibhasa'y lalaking matuwid, at ayaw na ihayag sa madla ang kaniyang kapurihan, ay nagpasiyang hiwalayan siya ng lihim."
eng,pag,"But just when he had resolved to do this, an angel of the Lord appeared to him in a dream and said, ""Joseph, son of David, do not be afraid to take Mary as your wife, for the child conceived in her is from the Holy Spirit.","Balet nen nununoten to ya, pinmayawar so sakey ya anghil na Katawan ed kugip to a nankuan: ""Jose, a kabyangay boleg nen David, ag ka natatakot ya ituloy mon ikasal si Maria, ta nanlapud pakayari na Ispiritu Santo so lokun to."
eng,pam,"But just when he had resolved to do this, an angel of the Lord appeared to him in a dream and said, ""Joseph, son of David, do not be afraid to take Mary as your wife, for the child conceived in her is from the Holy Spirit.","Kabang isipan na ing makanyan, pepakit ya king paninap ing metung a anghel ning Ginu. Ngana, Jose a lahi nang David, e ka tatakut balausnan pakasalan i Maria, uling ing kagli na milyari ya king kapamilatan na ning upaya ning Banal a Espiritu."
eng,tao,"But just when he had resolved to do this, an angel of the Lord appeared to him in a dream and said, ""Joseph, son of David, do not be afraid to take Mary as your wife, for the child conceived in her is from the Holy Spirit.","Naknakmen na o akman sang a vazay am mangay na patateynepan no tinsi ni Ama ta do to. Maniring am, ""Mo Yoseyvo a sivovoong ni Tawey, ji ka nyahey. Ta ahapen mo si Madiya kataned mo do vahay. Ta o na alavaten am yapo do Seyzi na ni Ama ta do to."
eng,tgl,"But just when he had resolved to do this, an angel of the Lord appeared to him in a dream and said, ""Joseph, son of David, do not be afraid to take Mary as your wife, for the child conceived in her is from the Holy Spirit.","Datapuwa't samantalang pinagiisip niya ito, narito, ang isang anghel ng Panginoon ay napakita sa kaniya sa panaginip, na nagsasabi: Jose, anak ni David, huwag kang mangamba sa pagtanggap kay Maria na iyong asawa: sapagka't ang kaniyang dinadalang-tao ay sa Espiritu Santo."
eng,pag,"She will bear a son, and you are to name him Jesus, for he will save his people from their sins.""","Mananak na laki. Jesus so ingaran mod sikato, ta sikatoy mangilaban ed saray totoo tod saray kasalanan da."""
eng,pam,"She will bear a son, and you are to name him Jesus, for he will save his people from their sins.""","Ibait ne ing metung a anak a lalaki, at ausan meng Jesus uling ya ing magligtas king balen na king pamikasala na."
eng,tao,"She will bear a son, and you are to name him Jesus, for he will save his people from their sins.""","Si Madiya am mangahanas so mahakay. No si malikey am ingaran mo jya si Yeso, ta iya o mapatastas so omraralay nya tao do peyraratenan da."""
eng,tgl,"She will bear a son, and you are to name him Jesus, for he will save his people from their sins.""",At siya'y manganganak ng isang lalake; at ang pangalang itatawag mo sa kaniya'y JESUS; sapagka't ililigtas niya ang kaniyang bayan sa kanilang mga kasalanan.
eng,pag,All this took place to fulfill what had been spoken by the Lord through the prophet:,"Agawa yan amin, pian nasumpal so inkuan na Katawan diad panamegley na propita,"
eng,pam,All this took place to fulfill what had been spoken by the Lord through the prophet:,Milyari iting sabla ban matupad ing sinabi na ning Ginu king kapamilatan na ning propeta:
eng,tao,All this took place to fulfill what had been spoken by the Lord through the prophet:,"O aro a vazay eya am todey mangononong do mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta o mina ciring na am,"
eng,tgl,All this took place to fulfill what had been spoken by the Lord through the prophet:,"At nangyari nga ang lahat ng ito, upang maganap ang sinalita ng Panginoon sa pamamagitan ng propeta, na nagsasabi,"
eng,pag,"""Look, the virgin shall become pregnant and give birth to a son,and they shall name him Emmanuel,""which means, ""God is with us.""","""Manlokun so sakey a birhin, tan mananak na laki a tawagen day Emmanuel"" (a say labay ton ibaga: ""Say Dios walad sikatayo"")."
eng,pam,"""Look, the virgin shall become pregnant and give birth to a son,and they shall name him Emmanuel,""which means, ""God is with us.""","Kumagli ya ing metung a dalagang birhen at ibait ne ing metung a anak a lalaki, at mayaus yang Immanuel (ngana wari, Ing Dios kayabe ta ya)."
eng,tao,"""Look, the virgin shall become pregnant and give birth to a son,and they shall name him Emmanuel,""which means, ""God is with us.""","""Amyan so ji meylimoteng so onowned a mavakes a mangalavat so mahakay. O ngaran na am Imaneydi."" O peypeypangayan na am, ""Macilovot jyaten si Ama ta do to."""
eng,tgl,"""Look, the virgin shall become pregnant and give birth to a son,and they shall name him Emmanuel,""which means, ""God is with us.""","Narito, ang dalaga'y magdadalang-tao at manganganak ng isang lalake, At ang pangalang itatawag nila sa kaniya ay Emmanuel; na kung liliwanagin, ay sumasa atin ang Dios."
eng,pag,"When Joseph awoke from sleep, he did as the angel of the Lord commanded him; he took her as his wife","Kanyan nen abangon si Jose, ginawa to may imbaga na anghil na Katawan. Inkasal toy Maria,"
eng,pam,"When Joseph awoke from sleep, he did as the angel of the Lord commanded him; he took her as his wife","Inyang migising ya i Jose, tiparan na ing inutus na ning anghel ning Ginu: pekasalan ne i Maria."
eng,tao,"When Joseph awoke from sleep, he did as the angel of the Lord commanded him; he took her as his wife",Mayokay si Yoseyvo am to na mangozai o mina ciring na jya no tinsi na ni Ama ta do to a mapasakay si Madiya.
eng,tgl,"When Joseph awoke from sleep, he did as the angel of the Lord commanded him; he took her as his wife","At nagbangon si Jose sa kaniyang pagkakatulog, at ginawa niya ang ayon sa ipinagutos sa kaniya ng anghel ng Panginoon, at tinanggap ang kaniyang asawa;"
eng,pag,"but had no marital relations with her until she had given birth to a son, and he named him Jesus.",balet ag to inakdulan ya anggad impangyanak nen Maria na ogaw a laki. Jesus so inngaran nen Jose ed sayan ogaw.
eng,pam,"but had no marital relations with her until she had given birth to a son, and he named him Jesus.",Oneng e ne teginan i Maria angga na king beit ne ing metung a anak a lalaki a pemalagyuan nang Jesus.
eng,tao,"but had no marital relations with her until she had given birth to a son, and he named him Jesus.",Am no kaji na pa tazakan no kanakan a mahakay am ji pa nimacitovong si Yoseyvo ji Madiya. Matazak rana a tao o kanakan am ngaranan na ni Yoseyvo a si Yeso.
eng,tgl,"but had no marital relations with her until she had given birth to a son, and he named him Jesus.",At hindi nakilala siya hanggang sa maipanganak ang isang lalake: at tinawag niya ang kaniyang pangalang JESUS.
eng,pag,"In the time of King Herod, after Jesus was born in Bethlehem of Judea, magi from the east came to Jerusalem,","Nianak si Jesus ed baley na Betlehem ed Judea, nen manooley si Ari Herodes. Ag abayag, sinmabid Jerusalem iray makakabat a totoon nanlapud Bokig."
eng,pam,"In the time of King Herod, after Jesus was born in Bethlehem of Judea, magi from the east came to Jerusalem,","Mibait ya i Jesus king Betlehem, Judea, kanitang panaun nang Aring Herodes. E melambat dinatang la Jerusalem ding mapilan a Mangabiasa, ding taung magaral king pangimut da ring batuin; menibatan la king Aslagan"
eng,tao,"In the time of King Herod, after Jesus was born in Bethlehem of Judea, magi from the east came to Jerusalem,",No kapeypanirsirngen da pa si Helote am matazak a tao si Yeso do Podiheng a ili do Yotay. O manitanita rana so mata no hanit a nimapo do teyhesa ka ili am mangay sira do Yelosaleng.
eng,tgl,"In the time of King Herod, after Jesus was born in Bethlehem of Judea, magi from the east came to Jerusalem,","Nang ipanganak nga si Jesus sa Bet-lehem ng Judea sa mga kaarawan ng haring si Herodes, narito, ang mga Pantas na lalake ay nagsidating sa Jerusalem mula sa silanganan, na nagsisipagsabi,"
eng,pag,"asking, ""Where is the child who has been born king of the Jews? For we observed his star in the east and have come to pay him homage.""","Nantepet-tepet ira, ""Iner so kawalaay nianak ya ari da ray Judio? Anengneng mi so bitewen ton linmetaw ed bokig, kanyan linma kami dian mangigalang ed sikato."""
eng,pam,"asking, ""Where is the child who has been born king of the Jews? For we observed his star in the east and have come to pay him homage.""",at kukutang da: Nu ya karin ing bayung bait a Ari da ring Judio? Ikit mi yang sinlag ing batuin na king aslagan at dinatang kami keti ba mi yang samban.
eng,tao,"asking, ""Where is the child who has been born king of the Jews? For we observed his star in the east and have come to pay him homage.""","Maniring sira am, ""Wanjin jya o nimatazak a tao a panirsirngen no tao do Yotay. Ta namen nimacita o mata no hanit do daddan no araw a yongkad no kanimatazak na rana. Ori o namen nyai a yaomraralay nya."""
eng,tgl,"asking, ""Where is the child who has been born king of the Jews? For we observed his star in the east and have come to pay him homage.""","Saan naroon ang ipinanganak na hari ng mga Judio? sapagka't aming nakita ang kaniyang bituin sa silanganan, at naparito kami upang siya'y sambahin."
eng,pag,"When King Herod heard this, he was frightened, and all Jerusalem with him,",Nen nadngelan to ya nen Ari Herodes mapalaloy inkagunigon to; ontan met na amin da ray taga Jerusalem.
eng,pam,"When King Herod heard this, he was frightened, and all Jerusalem with him,","Inyang dimdam nang Aring Herodes iti tutu yang megulu isip, antimu rin ing mabilug a Jerusalem."
eng,tao,"When King Herod heard this, he was frightened, and all Jerusalem with him,",Mamizing na no panirsirngen a meyngaran si Helote am marahet o onowned na. Akman sang sira o tao do Yelosaleng a mamogaw.
eng,tgl,"When King Herod heard this, he was frightened, and all Jerusalem with him,","Nang marinig ito ng haring si Herodes, ay nagulumihanan siya, at pati ng buong Jerusalem."
eng,pag,"and calling together all the chief priests and scribes of the people, he inquired of them where the Messiah was to be born.","Impatawag ton amin iray manonan papari tan saray iskriba, ta tinepet tod sikara no iner so pangyanakan ed Cristo."
eng,pam,"and calling together all the chief priests and scribes of the people, he inquired of them where the Messiah was to be born.","Pepayaus na la at tinipun ding pamuntuk da ring pari at ding talaturu ning Kautusan at kitang na karela, Nu ya mibait ing Cristo?"
eng,tao,"and calling together all the chief priests and scribes of the people, he inquired of them where the Messiah was to be born.","Makarahan am lovoten na ni Helote o panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano mangnanao no iwawalam na ni Ama ta do to. Maniring jira am, ""Do wanjin o na katazakan no Misayya a ipanci da no panoyonoywan na so ciring ni Ama ta do to no kakwa."""
eng,tgl,"and calling together all the chief priests and scribes of the people, he inquired of them where the Messiah was to be born.","At pagkatipon sa lahat ng mga pangulong saserdote at mga eskriba ng bayan, ay siniyasat niya sa kanila kung saan kaya ipanganganak ang Cristo."
eng,pag,"They told him, ""In Bethlehem of Judea, for so it has been written by the prophet:","""Diad Betlehem ed Judea,"" ebat da. ""Ta onyay insulat na propita,"
eng,pam,"They told him, ""In Bethlehem of Judea, for so it has been written by the prophet:","Ngarang mekibat, King Betlehem, Judea uling sinulat na pu ning propeta:"
eng,tao,"They told him, ""In Bethlehem of Judea, for so it has been written by the prophet:","Maniring sira am, ""Do Podiheng a ili do Yotay. Ta o yadomket a ciriciring da no panoyonoywan na so ciring ni Ama ta do to am,"
eng,tgl,"They told him, ""In Bethlehem of Judea, for so it has been written by the prophet:","At sinabi nila sa kaniya, sa Bet-lehem ng Judea: sapagka't ganito ang pagkasulat ng propeta,"
