Masbateno,Tuwali-Ifugao,Yami,Cebuano,Ilocano,Ivatan,Kapampangan,Pangasinense,Tausug,Yakan,Bikol,English,Hiligaynon,Spanish,Tagalog,Waray
taw,_te,pey,sil,aan,mak,aba,ari,"ya,",tin,og_,ith,t_s,ros,_ta,t_h
aha,ama,i_n,imo,_di,os_,ani,y_m,_du,n_p,nan,om_,kay,a_s,n_s,nak
_la,did,._M,"a,_",a_p,_ya,_yu,asa,ayn,e_n,apa,esu,ama,y_l,isa,i_h
ra_,e_d,nak,aha,ayt,di_,nya,y_t,ari,_pe,_Ka,r_t,s_n,s_q,kin,_la
g_s,ipa,o_o,adt,_si,aw_,ad_,a_r,nag,ew_,ka_,Jes,"o,_",_re,gay,_bu
ags,_tu,".""_",ita,_ki,yan,it_,gan,day,ine,ana,sus,ayo,nte,aba,mag
_ba,t_k,o_s,gan,nto,to_,t_n,apa,Tuh,ali,_ak,are,_il,ara,_hi,ri_
ani,aba,g_s,ta_,_id,avo,anu,o_t,u_s,pan,awo,_me,pan,",_d",han,us_
g_n,apu,ken,_us,dda,pay,ne_,_In,_bi,ind,i_s,_di,lan,a_e,a_p,di_
".""_",uma,a_j,nyo,ng_,aha,nen,_on,law,Tuh,n_p,t_a,ndi,e_c,yo_,o_a
ita,a_i,tan,n_a,tan,va_,lin,sak,ali,guw,"n,_",ome,bat,_pr,g_t,-an
a_b,i_k,g_n,iny,tao,asa,tau,ake,a_l,_Sa,g_k,_al,di_,e_t,aya,awa
a._,ila,_an,yo_,o_i,s_n,sab,kar,"n,_",sab,os_,",_t",n_k,Jes,gan,n_t
o_m,kal,yak,g_t,kin,As_,u_n,_am,yn_,gai,_ko,_re,aha,esú,kay,_ir
"a,_",wad,mac,o_a,enk,ian,i_n,_ni,ala,i_k,do_,t_h,"n,_",sús,gsi,ato
kon,itu,ipa,ahi,"o,_",us_,t_k,nto,_ya,asa,taw,wer,g_p,las,ara,n_b
ero,._H,asa,ama,gem,may,kek,ane,nak,e_t,us_,_so,nak,les,ind,imo
at_,od_,kap,n_u,ung,hen,ila,si_,ana,mba,dai,eve,o_m,hab,ita,ot_
mat,tud,._A,ung,na.,dir,aga,lay,a_b,pin,Nag,e_f,gsi,_mi,tin,gad
_Pa,pun,ten,_mo,lan,dan,_Ka,sia,_su,uwe,aba,out,wo_,ía_,_da,nma
ng_,ini,m_m,aw_,ari,gay,ak_,"n,_",amb,"a,_",pag,wit,ung,a_m,nak,aki
ung,_wa,ate,asa,o_n,wo_,mu_,nma,bay,jar,ban,ear,to_,o_l,ung,a._
bat,un-,ri_,sul,",_""",kay,u._,y_k,a_a,_ni,n_d,all,g_t,to_,gin,",_k"
par,ong,i_a,n_m,oy_,i_a,_de,da_,n_a,n_b,aw_,d_w,_ko,ell,g_b,ali
ini,nal,a_r,nil,_Na,map,uan,n_k,amp,aya,s_n,ad_,ot_,rqu,o_n,ton
_ku,i_m,cir,_ko,o._,n_k,"u,_",_ak,al_,n_k,aki,be_,aki,is_,g_l,san
atu,ol_,ina,_la,._I,ant,sal,a_k,u_n,a_p,nab,d_s,ind,orq,_is,asa
imo,a_o,_mo,a_d,mak,s_d,aku,"to,",ama,en_,lin,ow_,ngo,_ca,ya',tin
us_,a_d,aza,awa,_la,si_,san,a._,gka,and,lan,com,nan,_fu,uwa,s_h
_Na,mu_,ori,uba,n_k,ka_,_an,ra_,_Sa,Man,a._,ur_,n_a,o_q,sab,_da
uha,n_b,n._,a._,".""_",o_v,u_i,iba,mpa,anj,agt,im_,ro_,",_q",a_b,ndi
a_l,_im,awa,_da,",_n",nti,atu,la_,mbu,nja,agk,_ar,_An,fue,pin,y_n
kat,a_h,_or,g_b,i_i,aro,t_m,".""_",n._,ri_,i_k,s_s,mak,o_s,o'y,uha
_Di,tan,y_n,yon,at_,pa_,_Ma,_Di,ula,_su,"s,_",t_i,Ang,e_m,y_s,agp
s_n,-an,ita,ot_,_am,awr,kit,nsa,ayt,ge_,sar,ver,god,uer,y_m,n_d
awo,u_y,kar,"n,_",bag,nay,met,y_s,",_a",ell,",_a",n_h,na_,tra,sil,ta_
_da,ala,ima,nya,sin,wri,_it,n_y,bab,_ak,"an,",ay_,at_,ces,ini,und
"o,_",ha-,mak,iha,ao_,chi,_ri,isi,yta,em_,uli,nt_,may,mbr,nin,"an,"
ot_,kon,gan,aro,kas,_ar,lag,mpa,ya.,aba,ron,_wo,wal,a_c,tan,uma
n_g,ahi,_ci,ulo,"._""",gan,pat,say,uk_,_mi,o._,"im,",_Sa,_he,ni_,agt
as_,_ki,Am_,itu,n_d,nat,_In,_ko,kaw,isa,_ki,hav,dto,ino,_it,a_s
dil,a_t,ika,ron,in_,ran,i_k,bat,g_h,_ti,".""_",y_t,a._,ro_,"an,",ray
sad,udu,m_a,wo_,eng,voy,al_,ung,lan,_am,li_,e_d,ero,esp,oon,gsi
un_,uy_,a_y,n._,nge,_mi,etu,let,"an,",yaa,",_n",e_b,ton,su_,ko_,ada
aw_,aya,ro_,mah,nku,wan,n_m,nku,at_,ab_,apo,oth,ita,man,ati,aha
agk,a-o,kat,_bu,",_k",ken,are,kas,uun,inn,od_,hea,aw_,llo,n._,".""_"
kun,i_t,"""_M",g_u,gar,y_n,a_r,ing,kat,ngk,ran,t_w,_is,com,ngi,n._
_Ka,aan,ka_,o_u,"na,",naw,ela,ran,dtu,lan,iha,_as,han,",_s","i,_",t_n
kit,nom,_Ta,ag-,ngi,m_n,nun,y_d,aha,e_i,ili,ath,".""_",tod,a._,apa
t_s,tak,nim,aki,yto,han,n_y,abi,u._,as_,a_b,ame,g_g,",_l",_ku,it_
agp,mak,a_p,ban,ags,amo,uli,oto,tuu,apa,_ha,e_i,_Na,ntr,ako,ahi
ano,ngu,map,".""_",adi,mna,e_k,aan,_mi,pī_,as_,t_o,_la,cua,i_J,pak
adi,_ni,han,ina,sa_,_vi,n._,ila,._N,al_,an.,st_,_wa,ant,nas,_sa
iha,hod,_va,i_s,_Di,ti_,iti,kan,gaw,i_p,mon,_fr,id_,",_p",ka',gpa
_ko,_um,lam,o._,nda,ios,_si,o_n,ubu,_ha,pin,s_w,g_b,_ho,i_s,Nag
ulo,aku,rar,inu,a_s,ng_,pam,to.,In_,pag,bi_,ple,ban,_ci,sus,n_g
s_s,idi,aw_,uha,n_i,n_m,e_n,_pi,di_,e._,n._,man,ong,lla,bag,ama
no_,_ba,o_r,_ti,nia,ini,_ng,ine,".""_",niy,uma,_bu,gid,n_a,gag,Gin
awa,ok_,ak_,nah,uma,_Di,",_a",key,sil,ey_,kai,red,yon,_so,_Je,ka_
gka,tuw,y_a,agp,y_a,ma_,._I,_mo,gan,i_i,_al,_te,mat,_pe,apu,abo
di_,",_m",nao,gpa,ani,Dio,kal,gaw,i_n,ann,gsa,n_a,n._,ido,aan,._N
n_t,n_A,._T,dil,ant,ey_,._N,_im,awn,_pī,n_i,le_,ahi,s_h,kun,ita
mak,_Ha,pa_,mag,wan,ako,ka_,nak,ina,du_,_ga,n_o,niy,_vo,tap,s_n
n._,u_t,nya,og_,pay,o_i,_Di,d_k,wn_,_ke,t_n,d_b,_tu,a._,ami,mak
may,imm,iny,wal,ays,_va,n_i,lin,ra_,a_k,bih,s_o,os_,e_p,ibi,wo_
ag-,yan,_ar,nii,bal,kad,kap,ami,lau,ung,ama,ive,agk,e_v,lin,o_k
nam,yun,amo,_Di,t_n,ino,_nu,y_p,u_h,a_d,un_,_pr,_im,a_q,ula,"s,_"
pos,bal,a_i,_ga,idi,kar,._M,ton,g_s,_te,ato,",_s",kit,des,ta_,ngo
ad_,i_p,an.,mak,gba,n_o,g_n,tot,an.,egg,g_a,_de,a_l,ere,lal,inu
_ga,_ah,i_o,ipa,ysa,din,li_,ita,_ki,at_,ura,g_t,ari,_me,ino,sa_
i_k,hid,._S,d_s,asi,o_D,utu,no_,ak_,._S,gka,e_m,ati,nta,aon,nah
gpa,ntu,eyn,uta,aw_,ori,ti_,"s,_",uud,ga_,_di,And,atu,jo:,wa',_tu
_ha,mat,nge,-an,ali,kat,nu_,ulo,hin,a_n,n_t,_An,abo,a_t,_ko,ngl
o._,s_a,ya.,ika,min,ngo,s_k,ngi,apa,uma,n_b,had,ag-,a_p,a_t,ung
gan,lug,anc,an.,att,_ak,in_,bag,_pi,mbu,s_s,rom,Nag,sto,ili,gka
adt,_pu,ama,kay,tat,nia,e_i,nya,aan,ate,_ku,._T,uta,s;_,upa,kay
god,nil,ngo,mon,i_A,a_y,sin,toy,abu,bin,i_t,s_h,lo_,_pu,"ya,",ag_
gay,n_p,m_n,g_d,dia,y_d,_Ng,sal,yaw,k_m,_mo,d_i,_bu,os.,si_,kit
pa_,ngn,akm,tin,add,ach,kat,kin,n_T,anu,._A,"n,_",nah,"n,_",pat,hat
ton,hin,ono,gay,tay,adi,kas,a_p,_Ma,sin,_la,ord,n_m,omb,_bu,asi
d_n,_ti,._O,aba,nap,nge,lak,y_i,ing,lai,ag-,_go,gan,nos,Jes,a_d
._P,-on,sya,a_l,on_,ong,pa_,aki,awm,san,san,ers,nin,oso,"s,_",_su
pak,lin,noy,_wa,i_D,yen,mun,lab,uuk,ale,iri,hin,gka,ién,a_l,os_
n_d,_Ka,rah,abo,tta,_pi,i_J,o_r,da_,._M,ano,"r,_",Gin,aqu,esu,dir
gsa,ako,_ip,._A,_me,y_a,_tu,_ki,_wa,ak_,ari,m_t,s_s,._E,_pi,a_l
Gin,d_d,ci_,mii,kit,api,u_a,",_a",",_i",i_d,agd,fro,_Ka,_ti,sal,may
y_n,u._,_O_,apa,s._,ama,a_p,_Ka,._S,miy,hul,but,y_n,mo_,t_i,ian
kad,h_d,ota,agk,met,kam,Nga,sin,bun,"ne,",ani,e_p,ani,a_a,hat,usa
_su,_pi,cya,hat,ram,apo,"n,_",t_s,_Pa,a_i,yo_,ven,._S,ios,_mo,ika
_am,dam,oyo,agh,ida,m_m,ran,"an,",unu,ant,kak,"em,",o._,él_,puw,buh
_Sa,pul,ahe,._U,s_k,ani,rel,min,uwa,n_a,ag_,_ou,gap,us_,tao,_im
asu,-ap,aya,kit,_im,kak,mag,a_l,ita,dem,nas,y_w,pa_,rá_,it_,_Gi
war,mma,_ik,lay,t_i,iak,ri_,._I,ngk,pat,ibo,ght,tag,str,isi,agk
wo_,nat,in_,_in,o_d,oya,a_y,t_n,",_s",k_p,t_s,les,in_,_aq,_ga,la_
pat,na.,aro,_An,pag,ayt,awa,mba,uli,ara,kon,est,_am,ser,t_m,aya
i_a,utt,ey_,ari,lin,ono,._K,g_t,kiy,te_,o_m,"t,_",a_d,_os,t_k,bat
o_p,uwe,na.,o_m,mat,sir,bia,n_p,isa,kit,kat,_li,ada,ues,to_,g_n
"s,_",ing,vaz,ton,iak,ot_,api,a_i,pan,mak,bag,ld_,y_s,y_d,kas,n-a
sur,i_n,yon,bot,ios,wa_,an.,_li,agb,ite,isi,em_,int,e_n,tay,_ig
ios,gng,san,agt,Dio,es_,"s,_",met,ug_,us_,par,rea,n-a,ici,wal,war
ato,ibo,wak,gka,ika,ota,g_e,._N,mat,kew,hay,_st,_Si,adr,kit,y_h
an.,_ku,oma,nsa,dal,pak,as_,o_s,atu,ami,tin,ose,anu,dre,;_a,an.
nin,y_k,mya,n-a,_no,vah,ula,asi,agp,_na,nap,",_b",_Di,onc,"bi,",o._
"n,_",ona,gen,ha_,dan,asi,g_D,ga_,biy,_pu,_pi,whe,gsa,nce,g_d,_ki
yod,bon,ao.,_su,i_l,i_n,t_i,n._,_is,_ng,ram,ate,adt,s_m,_lu,ran
ada,et_,m_o,Ang,o_m,kas,lal,y_n,adt,gka,agh,do_,awa,jo_,_An,lan
ila,ad_,yam,"o,_",t_k,sin,ra_,Dio,uku,kal,may,e_y,uto,o_p,sis,no_
ins,mal,kma,bal,a_b,_to,nit,ios,buu,"an,",n_g,e_l,asa,dad,lag,agb
ka_,oy_,cit,i_k,int,pin,yun,nge,kal,kat,_Da,",_w",pat,"es,",agp,gli
kas,gge,Ta_,_Sa,"_""A",o._,t_d,o_m,u_d,n_i,ulo,ly_,dal,",_e",as_,_ku
Dio,aga,eng,tub,t_t,od_,nab,g_n,wm_,_is,hil,_si,kat,_ll,mat,ag-
n_b,dat,zay,as_,imm,vin,bi_,iad,mak,aki,kun,kin,-an,aro,ipa,"""_N"
uga,abu,y_d,ult,gpa,raw,nam,d_a,ham,"ye,",s_a,._A,i_k,da_,ngg,da_
uan,pat,kak,os_,gsa,_Am,s._,mak,_In,yan,ahi,use,ios,ste,_Sa,o_m
bi_,-in,_So,san,agt,non,ati,_bi,",_l",u_i,ali,d_o,agh,o;_,_ib,kak
hal,u_n,nip,sab,agb,"ia,",ios,apo,_ak,aga,g_i,r_a,agt,y_e,mak,ugo
pan,_am,jir,ios,aen,_Ma,ili,n_e,uma,kas,._N,",_h",no_,ta_,may,gat
uru,id_,sa_,Dio,da.,_om,Dio,wan,uga,kah,i_a,m_a,pam,o_t,s_n,_bi
t_n,din,No_,_Un,ten,dim,_ti,lap,li_,den,nak,say,Dio,ará,o._,lin
usa,ale,jin,ato,ipa,ich,iwa,apu,ini,nun,pan,wor,gas,a_v,aw_,as_
ati,aly,nci,i_n,iay,oh_,_pi,i_J,tay,ut_,"us,",od_,asi,cho,nam,yan
yan,g_n,o_c,_un,ing,isi,ap_,_Ma,miy,lum,An_,_ho,_su,sot,kap,kat
Kay,gu_,So_,_Si,gap,a_i,ipa,",_i",ngu,en.,_gi,_lo,"g,_",o_c,big,a_g
ari,gul,o_y,buh,ag_,tah,._A,ian,ima,mon,._K,"er,",as_,_ta,gsa,tun
nab,t_m,kwa,Uny,mba,",_t",lat,ngn,kab,",_s",_Di,_So,",_n",l_c,t_p,lit
sug,ey_,_sy,tag,._K,mia,mal,_no,mar,_bu,inu,_Wh,_bi,ond,ano,pan
Nag,ih_,yng,lo_,y_t,t_d,_bi,ud_,as_,lew,_hu,_sh,sug,un_,_iy,._K
agt,y_a,ane,mat,ka_,"o,_",s_a,t_a,",_m",g_s,ayo,rd_,"""_S",ton,_ti,yos
agh,hay,kam,lti,as_,abo,_ul,and,sal,a_b,"i,_",e._,d_k,ten,y_i,Dyo
s_k,tut,cin,git,mma,oma,mat,._A,mun,Sag,iba,s_i,_di,uan,kat,ulo
._K,d-a,ape,kad,n._,i_d,ale,gne,san,tu_,bot,_He,asu,_Ma,iyo,_Dy
ago,yen,ako,ula,_an,mar,_lu,_wa,n_l,"n.""",_Ma,_fi,kal,éis,ban,kin
tap,ani,_pe,gad,ili,m_a,"an,",wal,agu,agt,dum,e_g,_Ma,ert,agi,ad_
iri,Kan,i_m,_tu,mai,ak_,_pe,pud,u_a,ka_,sip,dis,"la,",ran,_al,n_s
g_m,ug_,o_v,_ar,aku,w_a,"na,",a_y,ndu,kka,gin,igh,ano,ndi,_tu,kab
ak_,nak,ava,._S,"n,_",ovo,k_n,er_,ahi,k_s,ios,_br,_Gi,ió_,rit,ins
_Gi,s_y,to.,Ug_,s_i,pia,a_t,k_n,kit,tey,a_l,r_h,sul,tar,gal,uga
idt,nda,g_d,gha,uad,oyo,",_i",ban,u_p,ehi,agp,_my,"an,",hom,mal,i_a
